Time Stamp,X_Acc,Y_Acc,Z_Acc,X_Orient,Y_Orient,Z_Orient
'04-Oct-2021 17:47:20.438',-0.440536,-9.03093,4.137177,-23.40922,65.54102,5.357993
'04-Oct-2021 17:47:20.447',-0.459686,-9.050079,4.098877,-23.463392,65.511124,5.495051
'04-Oct-2021 17:47:20.456',-0.440536,-9.083603,4.036621,-23.542626,65.489336,5.606152
'04-Oct-2021 17:47:20.465',-0.426163,-9.102753,4.084503,-23.600819,65.466701,5.689576
'04-Oct-2021 17:47:20.474',-0.402222,-9.107544,4.060562,-23.637673,65.446982,5.753104
'04-Oct-2021 17:47:20.483',-0.407013,-9.112335,4.007889,-23.612526,65.433704,5.816792
'04-Oct-2021 17:47:20.492',-0.469269,-9.088394,3.998322,-23.640168,65.426,5.899421
'04-Oct-2021 17:47:20.501',-0.488419,-9.069229,4.017471,-23.66075,65.422933,5.988167
'04-Oct-2021 17:47:20.510',-0.507568,-9.059662,4.017471,-23.686229,65.425877,6.087138
'04-Oct-2021 17:47:20.519',-0.584183,-9.126694,4.065353,-23.728982,65.430603,6.211132
'04-Oct-2021 17:47:20.528',-0.574615,-9.193741,4.094086,-23.77337,65.43658,6.349395
'04-Oct-2021 17:47:20.537',-0.569824,-9.227249,4.132385,-23.804365,65.43772,6.50346
'04-Oct-2021 17:47:20.546',-0.51236,-9.23204,4.118027,-23.840266,65.435692,6.65608
'04-Oct-2021 17:47:20.555',-0.536301,-9.174576,4.094086,-23.857982,65.428499,6.828119
'04-Oct-2021 17:47:20.564',-0.531509,-9.093185,3.99353,-23.893805,65.42572,7.019384
'04-Oct-2021 17:47:20.573',-0.531509,-8.997406,3.921707,-23.916899,65.426833,7.225561
'04-Oct-2021 17:47:20.582',-0.541092,-8.877701,3.926498,-23.94513,65.425808,7.428463
'04-Oct-2021 17:47:20.591',-0.593765,-8.887283,3.892975,-23.954385,65.432939,7.63458
'04-Oct-2021 17:47:20.600',-0.660797,-8.925583,3.883392,-24.010833,65.450718,7.842141
'04-Oct-2021 17:47:20.609',-0.699112,-8.963898,3.940857,-24.038668,65.474938,8.051069
'04-Oct-2021 17:47:20.618',-0.727844,-9.03093,4.003113,-24.116508,65.500312,8.261161
'04-Oct-2021 17:47:20.627',-0.766144,-9.050079,4.084503,-24.197786,65.519177,8.480154
